Pose,FrameNo,timestamp(ns),timeboot(ms),xgyro,xyyro,zgyro,xacc,yacc,zacc,x,y,z,roll,pitch,yaw,hdop,lat,lon,alt,vx,vy,vz,gpsxacc,gpsyacc,gpszacc
attitude,0,1511126307161009152.000000,0.000000,-0.000003,-0.000000,0.000000,0.004464,0.009708,-0.003170,0.000000,0.000000,-2.830918,-0.072761,0.049978,-1.211013,0,0,0,0,-0.046546,0.026719,-0.411875,0.000000,0.000000,0.000000
highres_imu,0,1511126307179202304.000000,0.000000,-0.000003,-0.000000,0.000000,0.006598,0.009286,-0.001560,0.000000,0.000000,-2.830918,-0.072761,0.049978,-1.211013,0,0,0,0,-0.046546,0.026719,-0.411875,0.000000,0.000000,0.000000
attitude,0,1511126307180686336.000000,0.000000,-0.000003,-0.000000,0.000000,0.006598,0.009286,-0.001560,0.000000,0.000000,-2.830918,-0.072620,0.049868,-1.204261,0,0,0,0,-0.046546,0.026719,-0.411875,0.000000,0.000000,0.000000
highres_imu,0,1511126307185047296.000000,0.000000,-0.000003,-0.000000,0.000000,0.006898,0.009172,-0.003283,0.000000,0.000000,-2.830918,-0.072620,0.049868,-1.204261,0,0,0,0,-0.046546,0.026719,-0.411875,0.000000,0.000000,0.000000
highres_imu,0,1511126307187808000.000000,0.000000,-0.000003,-0.000000,0.000000,0.006273,0.009282,-0.000618,0.000000,0.000000,-2.830918,-0.072620,0.049868,-1.204261,0,0,0,0,-0.046546,0.026719,-0.411875,0.000000,0.000000,0.000000
attitude,0,1511126307189316864.000000,0.000000,-0.000003,-0.000000,0.000000,0.006273,0.009282,-0.000618,0.000000,0.000000,-2.830918,-0.072602,0.049863,-1.203555,0,0,0,0,-0.046546,0.026719,-0.411875,0.000000,0.000000,0.000000
attitude,0,1511126307198644480.000000,0.000000,-0.000003,-0.000000,0.000000,0.006273,0.009282,-0.000618,0.000000,0.000000,-2.830918,-0.072585,0.049848,-1.203096,0,0,0,0,-0.046546,0.026719,-0.411875,0.000000,0.000000,0.000000
highres_imu,0,1511126307203207936.000000,0.000000,-0.000003,-0.000000,0.000000,0.006375,0.008434,0.000123,0.000000,0.000000,-2.830918,-0.072585,0.049848,-1.203096,0,0,0,0,-0.046546,0.026719,-0.411875,0.000000,0.000000,0.000000
local_position_ned,0,1511126307204722432.000000,0.000000,-0.000003,-0.000000,0.000000,0.006375,0.008434,0.000123,0.000000,0.000000,-2.957124,-0.072585,0.049848,-1.203096,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,0,1511126307207590400.000000,0.000000,-0.000003,-0.000000,0.000000,0.005538,0.007896,-0.002638,0.000000,0.000000,-2.957124,-0.072585,0.049848,-1.203096,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
attitude,0,1511126307209113344.000000,0.000000,-0.000003,-0.000000,0.000000,0.005538,0.007896,-0.002638,0.000000,0.000000,-2.957124,-0.072575,0.049825,-1.202368,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,0,1511126307215432704.000000,0.000000,-0.000003,-0.000000,0.000000,0.005514,0.009810,0.000226,0.000000,0.000000,-2.957124,-0.072575,0.049825,-1.202368,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,0,1511126307218116096.000000,0.000000,-0.000003,-0.000000,0.000000,0.008614,0.008647,0.002044,0.000000,0.000000,-2.957124,-0.072575,0.049825,-1.202368,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,0,1511126307230756608.000000,0.000000,-0.000003,-0.000000,0.000000,0.005101,0.008537,-0.002851,0.000000,0.000000,-2.957124,-0.072575,0.049825,-1.202368,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
attitude,0,1511126307232162560.000000,0.000000,-0.000003,-0.000000,0.000000,0.005101,0.008537,-0.002851,0.000000,0.000000,-2.957124,-0.072574,0.049814,-1.201663,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,0,1511126307236378112.000000,0.000000,-0.000003,-0.000000,0.000000,0.010323,0.008969,-0.000492,0.000000,0.000000,-2.957124,-0.072574,0.049814,-1.201663,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
attitude,0,1511126307237688576.000000,0.000000,-0.000003,-0.000000,0.000000,0.010323,0.008969,-0.000492,0.000000,0.000000,-2.957124,-0.072557,0.049807,-1.201174,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,0,1511126307242336000.000000,0.000000,-0.000003,-0.000000,0.000000,0.005863,0.008533,-0.003702,0.000000,0.000000,-2.957124,-0.072557,0.049807,-1.201174,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,0,1511126307245104384.000000,0.000000,-0.000003,-0.000000,0.000000,0.006792,0.010234,0.001068,0.000000,0.000000,-2.957124,-0.072557,0.049807,-1.201174,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
attitude,1,1511126307249522176.000000,0.000000,-0.000003,-0.000000,0.000000,0.006792,0.010234,0.001068,0.000000,0.000000,-2.957124,-0.072545,0.049797,-1.200474,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,1,1511126307252337408.000000,0.000000,-0.000003,-0.000000,0.000000,0.006048,0.008439,-0.003373,0.000000,0.000000,-2.957124,-0.072545,0.049797,-1.200474,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,1,1511126307257774592.000000,0.000000,-0.000003,-0.000000,0.000000,0.006796,0.009181,0.001634,0.000000,0.000000,-2.957124,-0.072545,0.049797,-1.200474,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
attitude,1,1511126307259227392.000000,0.000000,-0.000003,-0.000000,0.000000,0.006796,0.009181,0.001634,0.000000,0.000000,-2.957124,-0.072546,0.049786,-1.200000,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,1,1511126307261805056.000000,0.000000,-0.000003,-0.000000,0.000000,0.009572,0.007686,0.000129,0.000000,0.000000,-2.957124,-0.072546,0.049786,-1.200000,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
attitude,1,1511126307265359872.000000,0.000000,-0.000003,-0.000000,0.000000,0.009572,0.007686,0.000129,0.000000,0.000000,-2.957124,-0.072541,0.049768,-1.199522,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,1,1511126307279217152.000000,0.000000,-0.000003,-0.000000,0.000000,0.007125,0.009601,0.001512,0.000000,0.000000,-2.957124,-0.072541,0.049768,-1.199522,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,1,1511126307283508736.000000,0.000000,-0.000003,-0.000000,0.000000,0.004574,0.007479,-0.003045,0.000000,0.000000,-2.957124,-0.072541,0.049768,-1.199522,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
attitude,1,1511126307284865792.000000,0.000000,-0.000003,-0.000000,0.000000,0.004574,0.007479,-0.003045,0.000000,0.000000,-2.957124,-0.072527,0.049745,-1.198149,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,1,1511126307287554816.000000,0.000000,-0.000003,-0.000000,0.000000,0.006940,0.009073,0.002166,0.000000,0.000000,-2.957124,-0.072527,0.049745,-1.198149,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,1,1511126307290092032.000000,0.000000,-0.000003,-0.000000,0.000000,0.008195,0.008326,-0.001040,0.000000,0.000000,-2.957124,-0.072527,0.049745,-1.198149,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
highres_imu,1,1511126307296337664.000000,0.000000,-0.000003,-0.000000,0.000000,0.007845,0.009075,0.001291,0.000000,0.000000,-2.957124,-0.072527,0.049745,-1.198149,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
attitude,1,1511126307299290368.000000,0.000000,-0.000003,-0.000000,0.000000,0.007845,0.009075,0.001291,0.000000,0.000000,-2.957124,-0.072509,0.049718,-1.196999,0,0,0,0,-0.037164,0.021649,-0.452034,0.000000,0.000000,0.000000
