x,y,z,
4.41133e-18,-1.40506e-12,0.0078125,
9.46098e-17,-1.7289e-11,0.0078125,
9.46098e-17,-1.7289e-11,0.0078125,
1.91916e-16,-4.04505e-11,0.0078125,
1.91916e-16,-4.04505e-11,0.0078125,
4.43914e-16,-1.95525e-10,0.0078125,
4.43914e-16,-1.95525e-10,0.0078125,
1.95478e-15,-6.53418e-10,0.0078125,
1.95478e-15,-6.53418e-10,0.0078125,
8.05347e-15,-1.34916e-09,0.0078125,
8.05347e-15,-1.34916e-09,0.0078125,
1.32807e-14,-2.86398e-09,0.0078125,
1.32807e-14,-2.86398e-09,0.0078125,
3.62305e-14,-8.40054e-09,0.0078125,
3.62305e-14,-8.40054e-09,0.0078125,
9.65921e-14,-2.98024e-08,0.0078125,
9.65921e-14,-2.98024e-08,0.0078125,
3.1312e-13,-1.09575e-07,0.0078125,
3.1312e-13,-1.09575e-07,0.0078125,
6.8672e-13,-2.03966e-07,0.0078125,
6.8672e-13,-2.03966e-07,0.0078125,
1.70009e-12,-3.43974e-07,0.0078125,
1.70009e-12,-3.43974e-07,0.0078125,
2.62848e-12,-5.42926e-07,0.0078125,
2.62848e-12,-5.42926e-07,0.0078125,
3.63565e-12,-8.92198e-07,0.0078125,
3.63565e-12,-8.92198e-07,0.0078125,
5.16703e-12,-1.12997e-06,0.0078125,
5.16703e-12,-1.12997e-06,0.0078125,
7.84111e-12,-1.81086e-06,0.0078125,
7.84111e-12,-1.81086e-06,0.0078125,
1.95343e-11,-3.76933e-06,0.0078125,
1.95343e-11,-3.76933e-06,0.0078125,
2.82295e-11,-5.42111e-06,0.0078125,
2.82295e-11,-5.42111e-06,0.0078125,
4.29368e-11,-6.92335e-06,0.0078125,
4.29368e-11,-6.92335e-06,0.0078125,
5.71733e-11,-9.14066e-06,0.0078125,
5.71733e-11,-9.14066e-06,0.0078125,
8.08263e-11,-1.35434e-05,0.0078125,
8.08263e-11,-1.35434e-05,0.0078125,
7.39365e-11,-1.64612e-05,0.0078125,
7.39365e-11,-1.64612e-05,0.0078125,
7.81046e-11,-1.48513e-05,0.0078125,
7.81046e-11,-1.48513e-05,0.0078125,
7.30425e-11,-1.3554e-05,0.0078125,
7.30425e-11,-1.3554e-05,0.0078125,
5.29552e-11,-9.21384e-06,0.0078125,
5.29552e-11,-9.21384e-06,0.0078125,
1.67752e-11,-2.89897e-06,0.0078125,
1.67752e-11,-2.89897e-06,0.0078125,
1.91358e-11,-2.11059e-06,0.0078125,
1.91358e-11,-2.11059e-06,0.0078125,
1.21106e-11,-1.80249e-06,0.0078125,
1.21106e-11,-1.80249e-06,0.0078125,
8.46586e-12,-7.50447e-07,0.0078125,
8.46586e-12,-7.50447e-07,0.0078125,
1.57204e-12,-1.87454e-07,0.0078125,
1.57204e-12,-1.87454e-07,0.0078125,
1.56064e-13,-2.25598e-08,0.0078125,
1.56064e-13,-2.25598e-08,0.0078125,
2.68274e-14,-3.92637e-09,0.0078125,
2.68274e-14,-3.92637e-09,0.0078125,
7.2331e-15,-8.8634e-10,0.0078125,
7.2331e-15,-8.8634e-10,0.0078125,
1.08922e-15,-9.10344e-11,0.0078125,
1.08922e-15,-9.10344e-11,0.0078125,
6.4559e-17,-1.81055e-12,0.0078125,
