Pose,FrameNo,timestamp(ns),timeboot(ms),xgyro,xyyro,zgyro,xacc,yacc,zacc,x,y,z,roll,pitch,yaw,hdop,lat,lon,alt,vx,vy,vz,gpsxacc,gpsyacc,gpszacc
attitude,0,1511458539658920960.000000,0.000000,-0.000003,0.000000,-0.000003,-0.012880,0.001512,-0.013813,0.000000,0.000000,-1.667237,-0.070832,-0.039167,0.014606,0,0,0,0,-0.006296,-0.004345,-0.002660,0.000000,0.000000,0.000000
highres_imu,0,1511458539669037824.000000,0.000000,-0.000003,0.000000,-0.000003,0.008940,-0.018794,0.002697,0.000000,0.000000,-1.667237,-0.070832,-0.039167,0.014606,0,0,0,0,-0.006296,-0.004345,-0.002660,0.000000,0.000000,0.000000
highres_imu,0,1511458539684851968.000000,0.000000,-0.000003,0.000000,-0.000003,0.007231,-0.023389,-0.000616,0.000000,0.000000,-1.667237,-0.070832,-0.039167,0.014606,0,0,0,0,-0.006296,-0.004345,-0.002660,0.000000,0.000000,0.000000
attitude,0,1511458539690143744.000000,0.000000,-0.000003,0.000000,-0.000003,0.007231,-0.023389,-0.000616,0.000000,0.000000,-1.667237,-0.070788,-0.039357,0.014669,0,0,0,0,-0.006296,-0.004345,-0.002660,0.000000,0.000000,0.000000
local_position_ned,0,1511458539709423104.000000,0.000000,-0.000003,0.000000,-0.000003,0.007231,-0.023389,-0.000616,0.000000,0.000000,-1.637222,-0.070788,-0.039357,0.014669,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,1,1511458539744679424.000000,0.000000,-0.000003,0.000000,-0.000003,-0.001495,-0.015514,-0.025625,0.000000,0.000000,-1.637222,-0.070788,-0.039357,0.014669,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,1,1511458539749993728.000000,0.000000,-0.000003,0.000000,-0.000003,-0.001495,-0.015514,-0.025625,0.000000,0.000000,-1.637222,-0.070389,-0.041958,0.013525,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,1,1511458539785074944.000000,0.000000,-0.000003,0.000000,-0.000003,-0.004355,0.010672,-0.000609,0.000000,0.000000,-1.637222,-0.070389,-0.041958,0.013525,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,1,1511458539811696384.000000,0.000000,-0.000003,0.000000,-0.000003,0.002123,0.018753,0.012367,0.000000,0.000000,-1.637222,-0.070389,-0.041958,0.013525,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,1,1511458539832622080.000000,0.000000,-0.000003,0.000000,-0.000003,0.002123,0.018753,0.012367,0.000000,0.000000,-1.637222,-0.070780,-0.041635,0.013668,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,1,1511458539842558976.000000,0.000000,-0.000003,0.000000,-0.000003,0.005734,0.021643,0.015632,0.000000,0.000000,-1.637222,-0.070780,-0.041635,0.013668,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,2,1511458539865064960.000000,0.000000,-0.000003,0.000000,-0.000003,0.002867,0.026842,0.001938,0.000000,0.000000,-1.637222,-0.070780,-0.041635,0.013668,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,2,1511458539876128768.000000,0.000000,-0.000003,0.000000,-0.000003,0.002867,0.026842,0.001938,0.000000,0.000000,-1.637222,-0.070730,-0.040706,0.014171,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,2,1511458539895284992.000000,0.000000,-0.000003,0.000000,-0.000003,0.002867,0.026842,0.001938,0.000000,0.000000,-1.637222,-0.070683,-0.040254,0.014037,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,2,1511458539933963264.000000,0.000000,-0.000003,0.000000,-0.000003,0.002867,0.026842,0.001938,0.000000,0.000000,-1.637222,-0.070581,-0.040419,0.013679,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,2,1511458539955067904.000000,0.000000,-0.000003,0.000000,-0.000003,0.005449,-0.009465,-0.008458,0.000000,0.000000,-1.637222,-0.070581,-0.040419,0.013679,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,2,1511458539964887296.000000,0.000000,-0.000003,0.000000,-0.000003,0.001270,-0.013066,-0.001255,0.000000,0.000000,-1.637222,-0.070581,-0.040419,0.013679,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,2,1511458539974915072.000000,0.000000,-0.000003,0.000000,-0.000003,-0.002873,-0.011370,-0.004873,0.000000,0.000000,-1.637222,-0.070581,-0.040419,0.013679,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,3,1511458539986352640.000000,0.000000,-0.000003,0.000000,-0.000003,-0.002873,-0.011370,-0.004873,0.000000,0.000000,-1.637222,-0.070631,-0.041248,0.013754,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,3,1511458540003107840.000000,0.000000,-0.000003,0.000000,-0.000003,-0.002873,-0.011370,-0.004873,0.000000,0.000000,-1.637222,-0.070749,-0.041389,0.013865,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,3,1511458540026364672.000000,0.000000,-0.000003,0.000000,-0.000003,-0.006497,0.005549,-0.002890,0.000000,0.000000,-1.637222,-0.070749,-0.041389,0.013865,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,4,1511458540147915520.000000,0.000000,-0.000003,0.000000,-0.000003,-0.006497,0.005549,-0.002890,0.000000,0.000000,-1.637222,-0.070684,-0.041028,0.014011,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,4,1511458540157830912.000000,0.000000,-0.000003,0.000000,-0.000003,0.005510,0.015895,0.000764,0.000000,0.000000,-1.637222,-0.070684,-0.041028,0.014011,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,4,1511458540167705856.000000,0.000000,-0.000003,0.000000,-0.000003,0.002655,0.019078,0.002052,0.000000,0.000000,-1.637222,-0.070684,-0.041028,0.014011,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,4,1511458540177992448.000000,0.000000,-0.000003,0.000000,-0.000003,0.002742,0.015241,0.010557,0.000000,0.000000,-1.637222,-0.070684,-0.041028,0.014011,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,4,1511458540194136576.000000,0.000000,-0.000003,0.000000,-0.000003,0.002229,0.013539,0.009387,0.000000,0.000000,-1.637222,-0.070684,-0.041028,0.014011,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,4,1511458540199268352.000000,0.000000,-0.000003,0.000000,-0.000003,0.002229,0.013539,0.009387,0.000000,0.000000,-1.637222,-0.070677,-0.040528,0.014438,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,4,1511458540214660352.000000,0.000000,-0.000003,0.000000,-0.000003,-0.000220,0.019074,0.009709,0.000000,0.000000,-1.637222,-0.070677,-0.040528,0.014438,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
attitude,4,1511458540219874304.000000,0.000000,-0.000003,0.000000,-0.000003,-0.000220,0.019074,0.009709,0.000000,0.000000,-1.637222,-0.070762,-0.040035,0.014876,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
highres_imu,4,1511458540229829632.000000,0.000000,-0.000003,0.000000,-0.000003,-0.000432,0.018860,0.005654,0.000000,0.000000,-1.637222,-0.070762,-0.040035,0.014876,0,0,0,0,0.009911,-0.001794,0.012750,0.000000,0.000000,0.000000
