Pose,FrameNo,timestamp(ns),timeboot(ms),xgyro,xyyro,zgyro,xacc,yacc,zacc,x,y,z,roll,pitch,yaw,hdop,lat,lon,alt,vx,vy,vz,gpsxacc,gpsyacc,gpszacc
highres_imu,0,1510647356590685184.000000,-0.000000,-0.000003,0.000000,0.000000,-0.002011,0.000712,0.000927,0.000000,0.000000,-0.599546,0.112923,0.105264,-0.156700,9999,0,0,0,-0.009010,0.000478,-0.002725,0.000000,0.000000,0.000000
local_position_ned,0,1510647356611055616.000000,-0.000000,-0.000003,0.000000,0.000000,-0.002011,0.000712,0.000927,0.000000,0.000000,-0.607941,0.112923,0.105264,-0.156700,9999,0,0,0,-0.007098,0.001260,-0.008730,0.000000,0.000000,0.000000
attitude,0,1510647356620589824.000000,-0.000000,-0.000003,0.000000,0.000000,-0.002011,0.000712,0.000927,0.000000,0.000000,-0.607941,0.112914,0.104994,-0.156451,9999,0,0,0,-0.007098,0.001260,-0.008730,0.000000,0.000000,0.000000
highres_imu,1,1510647356678968320.000000,-0.000000,-0.000003,0.000000,0.000000,0.000788,-0.000714,-0.000231,0.000000,0.000000,-0.607941,0.112914,0.104994,-0.156451,9999,0,0,0,-0.007098,0.001260,-0.008730,0.000000,0.000000,0.000000
highres_imu,1,1510647356697871872.000000,-0.000000,-0.000003,0.000000,0.000000,0.000083,-0.001859,-0.001830,0.000000,0.000000,-0.607941,0.112914,0.104994,-0.156451,9999,0,0,0,-0.007098,0.001260,-0.008730,0.000000,0.000000,0.000000
highres_imu,2,1510647356738411264.000000,-0.000000,-0.000003,0.000000,0.000000,0.002650,-0.004531,-0.006396,0.000000,0.000000,-0.607941,0.112914,0.104994,-0.156451,9999,0,0,0,-0.007098,0.001260,-0.008730,0.000000,0.000000,0.000000
local_position_ned,2,1510647356747908096.000000,-0.000000,-0.000003,0.000000,0.000000,0.002650,-0.004531,-0.006396,0.000000,0.000000,-0.611310,0.112914,0.104994,-0.156451,9999,0,0,0,-0.003877,0.000601,-0.009988,0.000000,0.000000,0.000000
highres_imu,2,1510647356766059520.000000,-0.000000,-0.000003,0.000000,0.000000,-0.000764,-0.004129,-0.005778,0.000000,0.000000,-0.611310,0.112914,0.104994,-0.156451,9999,0,0,0,-0.003877,0.000601,-0.009988,0.000000,0.000000,0.000000
highres_imu,2,1510647356806137088.000000,-0.000000,-0.000003,0.000000,0.000000,0.000343,0.002346,-0.007198,0.000000,0.000000,-0.611310,0.112914,0.104994,-0.156451,9999,0,0,0,-0.003877,0.000601,-0.009988,0.000000,0.000000,0.000000
highres_imu,2,1510647356825665792.000000,-0.000000,-0.000003,0.000000,0.000000,0.000527,0.003421,-0.006177,0.000000,0.000000,-0.611310,0.112914,0.104994,-0.156451,9999,0,0,0,-0.003877,0.000601,-0.009988,0.000000,0.000000,0.000000
