Pose,FrameNo,timestamp(ns),timeboot(ms),xgyro,xyyro,zgyro,xacc,yacc,zacc,x,y,z,roll,pitch,yaw,hdop,lat,lon,alt,vx,vy,vz,gpsxacc,gpsyacc,gpszacc
attitude,0,1510565741488005632.000000,-0.000000,-0.000003,0.000000,0.000000,-0.000002,0.003976,0.000920,0.000000,0.000000,-2.280695,-0.000781,0.007526,0.035599,0,0,0,0,-0.008668,0.003664,0.025097,0.000000,0.000000,0.000000
highres_imu,0,1510565741518650368.000000,-0.000000,-0.000003,0.000000,0.000000,0.002871,0.004186,0.000479,0.000000,0.000000,-2.280695,-0.000781,0.007526,0.035599,0,0,0,0,-0.008668,0.003664,0.025097,0.000000,0.000000,0.000000
attitude,1,1510565741557712640.000000,-0.000000,-0.000003,0.000000,0.000000,0.002871,0.004186,0.000479,0.000000,0.000000,-2.280695,-0.000809,0.007509,0.035618,0,0,0,0,-0.008668,0.003664,0.025097,0.000000,0.000000,0.000000
highres_imu,1,1510565741589030144.000000,-0.000000,-0.000003,0.000000,0.000000,0.007258,0.004186,0.000479,0.000000,0.000000,-2.280695,-0.000809,0.007509,0.035618,0,0,0,0,-0.008668,0.003664,0.025097,0.000000,0.000000,0.000000
attitude,1,1510565741629667584.000000,-0.000000,-0.000003,0.000000,0.000000,0.007258,0.004186,0.000479,0.000000,0.000000,-2.280695,-0.000803,0.007504,0.035647,0,0,0,0,-0.008668,0.003664,0.025097,0.000000,0.000000,0.000000
highres_imu,2,1510565741670379776.000000,-0.000000,-0.000003,0.000000,0.000000,0.008220,0.005357,-0.001334,0.000000,0.000000,-2.280695,-0.000803,0.007504,0.035647,0,0,0,0,-0.008668,0.003664,0.025097,0.000000,0.000000,0.000000
attitude,2,1510565741711112704.000000,-0.000000,-0.000003,0.000000,0.000000,0.008220,0.005357,-0.001334,0.000000,0.000000,-2.280695,-0.000770,0.007498,0.035650,0,0,0,0,-0.008668,0.003664,0.025097,0.000000,0.000000,0.000000
local_position_ned,2,1510565741731858688.000000,-0.000000,-0.000003,0.000000,0.000000,0.008220,0.005357,-0.001334,0.000000,0.000000,-2.282849,-0.000770,0.007498,0.035650,0,0,0,0,-0.008086,0.003926,0.022681,0.000000,0.000000,0.000000
highres_imu,3,1510565741751214848.000000,-0.000000,-0.000003,0.000000,0.000000,0.002187,0.005685,0.001126,0.000000,0.000000,-2.282849,-0.000770,0.007498,0.035650,0,0,0,0,-0.008086,0.003926,0.022681,0.000000,0.000000,0.000000
highres_imu,3,1510565741791290624.000000,-0.000000,-0.000003,0.000000,0.000000,0.003953,0.003973,0.000374,0.000000,0.000000,-2.282849,-0.000770,0.007498,0.035650,0,0,0,0,-0.008086,0.003926,0.022681,0.000000,0.000000,0.000000
attitude,3,1510565741801532160.000000,-0.000000,-0.000003,0.000000,0.000000,0.003953,0.003973,0.000374,0.000000,0.000000,-2.282849,-0.000786,0.007488,0.035655,0,0,0,0,-0.008086,0.003926,0.022681,0.000000,0.000000,0.000000
local_position_ned,4,1510565741846130944.000000,-0.000000,-0.000003,0.000000,0.000000,0.003953,0.003973,0.000374,0.000000,0.000000,-2.279129,-0.000786,0.007488,0.035655,0,0,0,0,-0.007664,0.003761,0.023499,0.000000,0.000000,0.000000
highres_imu,4,1510565741864876544.000000,-0.000000,-0.000003,0.000000,0.000000,0.001304,0.004929,0.001435,0.000000,0.000000,-2.279129,-0.000786,0.007488,0.035655,0,0,0,0,-0.007664,0.003761,0.023499,0.000000,0.000000,0.000000
highres_imu,4,1510565741883974912.000000,-0.000000,-0.000003,0.000000,0.000000,0.007999,0.005142,-0.001331,0.000000,0.000000,-2.279129,-0.000786,0.007488,0.035655,0,0,0,0,-0.007664,0.003761,0.023499,0.000000,0.000000,0.000000
highres_imu,4,1510565741940805120.000000,-0.000000,-0.000003,0.000000,0.000000,0.008316,0.003755,0.000585,0.000000,0.000000,-2.279129,-0.000786,0.007488,0.035655,0,0,0,0,-0.007664,0.003761,0.023499,0.000000,0.000000,0.000000
local_position_ned,5,1510565741950866944.000000,-0.000000,-0.000003,0.000000,0.000000,0.008316,0.003755,0.000585,0.000000,0.000000,-2.278605,-0.000786,0.007488,0.035655,0,0,0,0,-0.006897,0.003651,0.024779,0.000000,0.000000,0.000000
