x,y,z,
1.0421e-18,-1.53603e-12,0.0078125,
2.68302e-18,-2.77401e-12,0.0078125,
1.16225e-17,-6.21918e-12,0.0078125,
2.83673e-17,-1.21056e-11,0.0078125,
6.58368e-17,-4.64354e-11,0.0078125,
1.80166e-16,-2.27022e-10,0.0078125,
3.74501e-16,-5.6643e-10,0.0078125,
9.55331e-16,-1.24488e-09,0.0078125,
2.64146e-15,-2.47298e-09,0.0078125,
3.60916e-15,-3.55839e-09,0.0078125,
6.05758e-15,-4.99302e-09,0.0078125,
5.52708e-15,-5.54416e-09,0.0078125,
9.89839e-15,-7.92702e-09,0.0078125,
7.43499e-15,-6.55053e-09,0.0078125,
4.70122e-15,-3.94269e-09,0.0078125,
1.36147e-15,-2.93361e-09,0.0078125,
2.93137e-16,-8.44967e-10,0.0078125,
1.36909e-16,-2.06051e-10,0.0078125,
6.72762e-17,-9.25167e-11,0.0078125,
1.38395e-17,-1.59666e-11,0.0078125,
7.23168e-19,-4.0308e-12,0.0078125,
7.47621e-19,-2.2132e-12,0.0078125,
1.21835e-19,-2.1981e-12,0.0078125,
1.40578e-19,-6.33998e-12,0.0078125,
3.15336e-19,-2.43567e-12,0.0078125,
9.57894e-18,-6.73214e-12,0.0078125,
1.93537e-16,-1.54305e-10,0.0078125,
2.8145e-15,-1.62943e-09,0.0078125,
9.26977e-15,-5.48458e-09,0.0078125,
9.75068e-15,-6.32041e-09,0.0078125,
3.42959e-15,-3.03749e-09,0.0078125,
6.90614e-16,-7.94577e-10,0.0078125,
6.76908e-17,-5.19614e-11,0.0078125,
6.06774e-18,-6.03386e-12,0.0078125,
5.40937e-21,-3.04315e-14,0.0078125,
1.24292e-28,-4.72073e-17,0.0078125,
1.24568e-34,-9.47067e-19,0.0078125,
9.90531e-22,-9.09181e-15,0.0078125,
1.65581e-18,-3.15213e-12,0.0078125,
1.16436e-16,-8.15834e-11,0.0078125,
1.07475e-15,-8.51114e-10,0.0078125,
3.90479e-15,-2.43853e-09,0.0078125,
8.15192e-15,-5.40264e-09,0.0078125,
7.61788e-15,-4.87095e-09,0.0078125,
2.92412e-15,-2.1282e-09,0.0078125,
1.95924e-16,-1.96311e-10,0.0078125,
4.75101e-18,-4.48949e-12,0.0078125,
1.67198e-19,-1.09245e-13,0.0078125,
9.02895e-29,-7.66829e-19,0.0078125,
5.14675e-31,-8.59933e-19,0.0078125,
2.41173e-21,-1.17566e-14,0.0078125,
4.4156e-18,-3.73773e-12,0.0078125,
9.62258e-17,-7.0495e-11,0.0078125,
1.41594e-15,-1.01524e-09,0.0078125,
2.49431e-15,-1.72691e-09,0.0078125,
5.81965e-15,-1.84119e-09,0.0078125,
1.01282e-14,-1.99024e-09,0.0078125,
3.72308e-15,-1.98514e-09,0.0078125,
1.41833e-15,-9.24815e-10,0.0078125,
1.31416e-16,-1.18076e-10,0.0078125,
1.38087e-17,-7.85347e-12,0.0078125,
1.64612e-19,-1.04402e-13,0.0078125,
2.81373e-24,-5.66208e-17,0.0078125,
3.24562e-25,-2.24536e-17,0.0078125,
7.89248e-22,-4.66961e-15,0.0078125,
9.15299e-19,-8.56419e-13,0.0078125,
6.84441e-17,-2.89774e-11,0.0078125,
1.15302e-15,-7.37979e-10,0.0078125,
6.70388e-15,-2.942e-09,0.0078125,
1.1495e-14,-6.1084e-09,0.0078125,
8.55168e-15,-4.46765e-09,0.0078125,
1.54057e-15,-1.01425e-09,0.0078125,
8.08791e-17,-4.41565e-11,0.0078125,
1.21986e-18,-9.60934e-13,0.0078125,
7.35989e-27,-8.31064e-19,0.0078125,
-4.50183e-29,-6.33507e-22,0.0078125,
1.37958e-19,-1.06144e-13,0.0078125,
1.31867e-17,-7.60459e-12,0.0078125,
1.54031e-16,-9.07383e-11,0.0078125,
2.36396e-15,-1.17756e-09,0.0078125,
6.64099e-15,-3.10997e-09,0.0078125,
1.02287e-14,-5.79816e-09,0.0078125,
3.65958e-15,-2.91917e-09,0.0078125,
7.67311e-16,-6.3387e-10,0.0078125,
1.03094e-16,-4.98941e-11,0.0078125,
3.16329e-19,-3.19064e-13,0.0078125,
2.43384e-24,-6.22272e-17,0.0078125,
-5.38198e-27,-1.0095e-20,0.0078125,
1.31003e-23,-4.88293e-16,0.0078125,
8.51127e-19,-8.72971e-13,0.0078125,
5.13946e-17,-2.44785e-11,0.0078125,
1.20619e-15,-7.28453e-10,0.0078125,
4.12144e-15,-2.03885e-09,0.0078125,
6.12128e-15,-2.60054e-09,0.0078125,
8.42505e-15,-4.25939e-09,0.0078125,
2.94077e-15,-1.74699e-09,0.0078125,
3.58517e-16,-2.91449e-10,0.0078125,
2.30797e-17,-8.21184e-12,0.0078125,
1.64682e-19,-8.10755e-14,0.0078125,
-2.23467e-29,-1.60566e-29,0.0078125,
7.14508e-27,-2.19043e-19,0.0078125,
2.41722e-20,-1.84907e-14,0.0078125,
1.55189e-17,-6.00157e-12,0.0078125,
1.87421e-16,-9.93425e-11,0.0078125,
3.1334e-15,-1.35858e-09,0.0078125,
1.2012e-14,-3.50377e-09,0.0078125,
4.52618e-15,-2.87914e-09,0.0078125,
6.91869e-16,-5.35704e-10,0.0078125,
3.99076e-17,-1.27803e-11,0.0078125,
7.8504e-19,-7.01112e-13,0.0078125,
7.27707e-24,-8.0595e-16,0.0078125,
1.22647e-28,7.7061e-18,0.0078125,
1.46242e-28,3.27734e-19,0.0078125,
6.56951e-24,2.63689e-23,0.0078125,
1.24195e-21,-2.00668e-19,0.0078125,
2.00139e-20,-2.18521e-17,0.0078125,
2.27059e-19,-4.86485e-17,0.0078125,
1.27272e-18,-8.74677e-16,0.0078125,
1.28084e-18,-2.67357e-15,0.0078125,
3.40884e-19,-7.64969e-16,0.0078125,
1.80311e-19,-5.05081e-17,0.0078125,
