x,y,z,scaled_x,scaled_y,scaled_z
2.10501e-14,5.68053e-12,-0.375385,2.56268e-312,-1.05187e-320,-4.94066e-324
3.06676e-14,8.27192e-12,-0.375385,2.56392e-312,-1.5321e-320,-4.94066e-324
2.22981e-14,6.06087e-12,-0.375385,2.54426e-312,-1.12252e-320,-4.94066e-324
2.013E-11,5.52951e-12,-0.375385,2.5176e-312,-1.0242e-320,-4.94066e-324
-3.24247e-14,1.62951e-12,-0.375385,-1.3761e-311,-3.01874e-321,-4.94066e-324
-2.84136e-12,2.66996e-12,-0.375385,-7.35957e-310,-4.9456e-321,-4.94066e-324
-4.22801e-11,1.5738e-12,-0.375385,-1.85787e-308,-2.91499e-321,-4.94066e-324
-1.84114e-10,2.51703e-12,-0.375385,-5.05858e-308,-4.66398e-321,-4.94066e-324
-5.59952e-10,6.86264e-12,-0.375385,-5.64274e-308,-1.27123e-320,-4.94066e-324
-2.06539e-09,8.45794e-12,-0.375385,-1.68876e-307,-1.56668e-320,-4.94066e-324
-5.28103e-09,2.18493e-11,-0.375385,-1.67152e-307,-4.04689e-320,-4.94066e-324
-1.78928e-08,6.04798e-11,-0.375385,-2.04596e-307,-1.12015e-319,-4.94066e-324
-4.65746e-08,1.54111e-10,-0.375385,-2.09e-307,-2.85432e-319,-4.94066e-324
-1.15522e-07,3.71316e-10,-0.375385,-2.15155e-307,-6.8772e-319,-4.94066e-324
-2.50437e-07,7.9435e-10,-0.375384,-2.1803e-307,-1.47122e-318,-4.94066e-324
-3.65432e-07,1.15916e-09,-0.375384,-2.18017e-307,-2.1469e-318,-4.94066e-324
-5.04166e-07,1.59798e-09,-0.375384,-2.18189e-307,-2.95964e-318,-4.94066e-324
-7.9947e-07,2.53382e-09,-0.375384,-2.18201e-307,-4.69293e-318,-4.94066e-324
-1.18272e-06,3.75931e-09,-0.375383,-2.17573e-307,-6.96267e-318,-4.94066e-324
-1.92038e-06,6.09046e-09,-0.375383,-2.18055e-307,-1.12803e-317,-4.94066e-324
-2.69369e-06,8.5156e-09,-0.375382,-2.18757e-307,-1.57719e-317,-4.94066e-324
-3.38946e-06,1.07076e-08,-0.375381,-2.18912e-307,-1.98318e-317,-4.94066e-324
-5.64387e-06,1.78165e-08,-0.375379,-2.19071e-307,-3.29986e-317,-4.94066e-324
-1.08008e-05,3.41045e-08,-0.375374,-2.19016e-307,-6.3167e-317,-4.94066e-324
-1.74125e-05,5.51393e-08,-0.375368,-2.18388e-307,-1.02129e-316,-4.94066e-324
-2.27263e-05,7.20367e-08,-0.375363,-2.18175e-307,-1.33428e-316,-4.94066e-324
-2.47699e-05,7.84547e-08,-0.375361,-2.18341e-307,-1.45316e-316,-4.94066e-324
-2.79582e-05,8.84375e-08,-0.375357,-2.18626e-307,-1.63808e-316,-4.94066e-324
-3.33661e-05,1.05459e-07,-0.375352,-2.18801e-307,-1.95339e-316,-4.94066e-324
-3.77412e-05,1.19227e-07,-0.375347,-2.18913e-307,-2.20843e-316,-4.94066e-324
-4.08248e-05,1.28978e-07,-0.375344,-2.18896e-307,-2.38907e-316,-4.94066e-324
-4.59817e-05,1.45269e-07,-0.375339,-2.18897e-307,-2.69087e-316,-4.94066e-324
-5.07941e-05,1.60536e-07,-0.375335,-2.18812e-307,-2.9737e-316,-4.94066e-324
-5.25757e-05,1.66503e-07,-0.375333,-2.1837e-307,-3.08424e-316,-4.94066e-324
-5.29605e-05,1.67889e-07,-0.375333,-2.18152e-307,-3.10992e-316,-4.94066e-324
-5.50385e-05,1.74476e-07,-0.37533,-2.18153e-307,-3.23196e-316,-4.94066e-324
-5.35901e-05,1.70357e-07,-0.375332,-2.17548e-307,-3.15564e-316,-4.94066e-324
-4.92589e-05,1.57469e-07,-0.375336,-2.16331e-307,-2.91688e-316,-4.94066e-324
-4.77446e-05,1.54253e-07,-0.375338,-2.14052e-307,-2.8573e-316,-4.94066e-324
-4.79297e-05,1.57433e-07,-0.375338,-2.10543e-307,-2.91619e-316,-4.94066e-324
-4.57573e-05,1.54415e-07,-0.375341,-2.04928e-307,-2.86027e-316,-4.94066e-324
-5.13539e-05,1.75496e-07,-0.375336,-2.02365e-307,-3.2508e-316,-4.94066e-324
-4.88115e-05,1.96802e-07,-0.37534,-1.71523e-307,-3.64543e-316,-4.94066e-324
-4.89347e-05,2.10832e-07,-0.37534,-1.60513e-307,-3.90529e-316,-4.94066e-324
-5.06997e-05,2.25239e-07,-0.375339,-1.55666e-307,-4.17218e-316,-4.94066e-324
-4.68228e-05,2.41889e-07,-0.375343,-1.33867e-307,-4.48053e-316,-4.94066e-324
-4.07767e-05,2.42388e-07,-0.375349,-1.16341e-307,-4.48971e-316,-4.94066e-324
-3.61818e-05,2.42119e-07,-0.375353,-1.03346e-307,-4.48468e-316,-4.94066e-324
-2.99764e-05,2.4313e-07,-0.375359,-8.52652e-308,-4.50334e-316,-4.94066e-324
-2.75558e-05,2.5815e-07,-0.375361,-7.38197e-308,-4.78152e-316,-4.94066e-324
-2.60561e-05,2.5492e-07,-0.375362,-7.06862e-308,-4.72168e-316,-4.94066e-324
-2.3208e-05,2.64328e-07,-0.375365,-6.07189e-308,-4.8959e-316,-4.94066e-324
-1.91745e-05,2.57396e-07,-0.375369,-5.15173e-308,-4.76745e-316,-4.94066e-324
-1.30583e-05,2.72233e-07,-0.375374,-3.31723e-308,-5.04219e-316,-4.94066e-324
-1.11678e-05,3.25363e-07,-0.375376,-2.37372e-308,-6.02622e-316,-4.94066e-324
-1.02474e-05,4.03367e-07,-0.375377,-1.75688e-308,-7.47096e-316,-4.94066e-324
-1.08274e-05,4.70123e-07,-0.375376,-1.59273e-308,-8.70739e-316,-4.94066e-324
-1.10055e-05,5.80315e-07,-0.375376,-1.31152e-308,-1.07483e-315,-4.94066e-324
-1.00917e-05,6.12255e-07,-0.375377,-1.13988e-308,-1.13399e-315,-4.94066e-324
-7.43153e-06,6.89714e-07,-0.375379,-7.45143e-309,-1.27744e-315,-4.94066e-324
-6.22572e-06,8.29837e-07,-0.37538,-5.18832e-309,-1.53697e-315,-4.94066e-324
-5.41685e-06,9.12351e-07,-0.375381,-4.10596e-309,-1.68979e-315,-4.94066e-324
-5.08021e-06,9.25549e-07,-0.375381,-3.79588e-309,-1.71423e-315,-4.94066e-324
-4.54776e-06,9.39635e-07,-0.375382,-3.3471e-309,-1.74032e-315,-4.94066e-324
-3.91965e-06,9.48327e-07,-0.375382,-2.85837e-309,-1.75642e-315,-4.94066e-324
-3.52332e-06,8.65638e-07,-0.375382,-2.81479e-309,-1.60327e-315,-4.94066e-324
-2.94978e-06,7.16488e-07,-0.375383,-2.84715e-309,-1.32702e-315,-4.94066e-324
-1.43405e-06,8.42903e-07,-0.375384,-1.17657e-309,-1.56115e-315,-4.94066e-324
-7.89645e-07,1.31683e-06,-0.375384,-4.14698e-310,-2.43892e-315,-4.94066e-324
