-1512668514234138.500000 -0.000000 0.000000 -0.000000 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
-1512668514234138.500000 -nan -nan -nan 
